Date,Open,High,Low,Close,Volume,Symbol,Datetime,Currency
,,,,,BTC-USD,,,INR
2025-06-23 00:00:00+00:00,,,,,0,BTC,2025-06-23 00:00:00+00:00,INR
2025-06-23 01:00:00+00:00,,,,,0,BTC,2025-06-23 01:00:00+00:00,INR
2025-06-23 02:00:00+00:00,8753840.004543722,8777649.265364528,8743912.322470665,8772841.294549227,203980800,BTC,2025-06-23 02:00:00+00:00,INR
2025-06-23 03:00:00+00:00,8787656.018621802,8789346.186182082,8768493.108824134,8771369.442075014,0,BTC,2025-06-23 03:00:00+00:00,INR
2025-06-23 04:00:00+00:00,8778921.581443727,8793599.865923345,8766444.090725899,8778858.546697855,0,BTC,2025-06-23 04:00:00+00:00,INR
2025-06-23 05:00:00+00:00,8784684.257696629,8839093.975253105,8784684.257696629,8839093.975253105,0,BTC,2025-06-23 05:00:00+00:00,INR
2025-06-23 06:00:00+00:00,8835434.095137835,8852909.74724245,8827148.161311626,8850040.418058872,791060480,BTC,2025-06-23 06:00:00+00:00,INR
2025-06-23 07:00:00+00:00,8844597.002491355,8852094.404734671,8831987.273097038,8843621.28995359,890101760,BTC,2025-06-23 07:00:00+00:00,INR
2025-06-23 08:00:00+00:00,8838536.119202375,8847291.88023001,8823559.426873028,8835301.045304239,0,BTC,2025-06-23 08:00:00+00:00,INR
2025-06-23 09:00:00+00:00,8840870.853115499,8840870.853115499,8799807.76668197,8813930.530012906,0,BTC,2025-06-23 09:00:00+00:00,INR
2025-06-23 10:00:00+00:00,8813214.795098186,8813214.795098186,8782286.10045594,8807961.179810882,82984960,BTC,2025-06-23 10:00:00+00:00,INR
2025-06-23 11:00:00+00:00,8803174.448958755,8809776.23730123,8777299.829008102,8789743.224399924,355401728,BTC,2025-06-23 11:00:00+00:00,INR
2025-06-23 12:00:00+00:00,8784542.062058091,8810212.123479366,8771021.024588108,8810212.123479366,1159589888,BTC,2025-06-23 12:00:00+00:00,INR
2025-06-23 13:00:00+00:00,8811106.282953143,8875273.608842611,8741350.419244766,8875273.608842611,0,BTC,2025-06-23 13:00:00+00:00,INR
2025-06-23 14:00:00+00:00,8864733.125415802,8873344.373422623,8794337.271764755,8794337.271764755,0,BTC,2025-06-23 14:00:00+00:00,INR
2025-06-23 15:00:00+00:00,8799930.552812874,8832559.577082753,8773020.818822145,8783302.020543814,0,BTC,2025-06-23 15:00:00+00:00,INR
2025-06-23 16:00:00+00:00,8780822.985383809,8780822.985383809,8646304.737186968,8683255.679040134,0,BTC,2025-06-23 16:00:00+00:00,INR
2025-06-23 17:00:00+00:00,8717145.516119778,8885857.142925262,8704789.550584078,8867218.746590018,3249803264,BTC,2025-06-23 17:00:00+00:00,INR
2025-06-23 18:00:00+00:00,8874122.457267404,8939120.906815767,8873155.721440077,8917672.216190875,1407447040,BTC,2025-06-23 18:00:00+00:00,INR
