Date,Open,High,Low,Close,Volume,Symbol,Currency
,,,,,BTC-USD,,INR
2014-11-07,21511.357864313293,21690.54855647986,21016.831638481934,21056.126130902558,16834200,BTC,INR
2014-11-08,21040.07542200177,21340.039582276368,21040.07542200177,21245.093999892822,8535470,BTC,INR
2014-11-09,21238.206813915283,22360.45406447223,21169.273025764618,22338.19362848706,24205600,BTC,INR
2014-11-10,22284.00802295655,23056.057376710698,21994.650252928957,22570.596881981943,30450100,BTC,INR
2014-11-11,22511.18043291383,22846.703696521,22380.613204669207,22624.27335181274,15838900,BTC,INR
2014-11-12,22627.397366918158,26423.3597456204,22627.397366918158,26044.766886165016,45783200,BTC,INR
2014-11-13,26220.89010630106,28050.88244388101,24616.115407260833,25819.6645938945,58945000,BTC,INR
2014-11-14,25771.5571741201,25822.988681233255,23700.30839182553,24502.80305807246,29589200,BTC,INR
2014-11-15,24615.641476445016,24977.68642990501,22851.49491853663,23167.159035872904,15727500,BTC,INR
2014-11-16,23080.74500632414,24070.482914332537,23072.859794265823,23890.81473922066,11905600,BTC,INR
2014-11-17,23964.240102847107,25312.560283483705,23294.894358917605,23906.172287123045,41518800,BTC,INR
2014-11-18,23974.033003292396,24259.47007457039,22943.56725354423,23195.86653171014,32222500,BTC,INR
2014-11-19,23076.11252780445,23852.83301160985,23076.11252780445,23487.09246889665,18931800,BTC,INR
2014-11-20,23555.455284949858,23661.86396703415,22098.30184292514,22163.89359489258,25233200,BTC,INR
2014-11-21,22160.941301076324,22160.941301076324,21308.447461280273,21725.560322885984,29850100,BTC,INR
2014-11-22,21772.374851917848,22592.049577125585,21727.417937306454,21853.8661099585,15273000,BTC,INR
2014-11-23,21869.654887662502,22963.835135079804,21869.654887662502,22761.222881448455,15151600,BTC,INR
2014-11-24,22662.70774346497,23914.02810984815,22645.477216589497,23277.405187696684,30930100,BTC,INR
2014-11-25,23311.529153888114,24413.440511313504,23181.51478077588,23216.399586221552,25442200,BTC,INR
2014-11-26,23253.015787356417,23356.84425685089,22622.062084627687,22780.000554255676,18601700,BTC,INR
2014-11-27,22892.57778382511,23108.217294142818,22755.4083523975,22841.170124068274,8748030,BTC,INR
2014-11-28,22846.88982079632,23679.679844592232,22171.516514177085,23284.375973522547,22946500,BTC,INR
2014-11-29,23266.130395391607,23974.285716846352,23018.284243958886,23225.244897531462,15375600,BTC,INR
2014-11-30,23226.42087468598,23660.443274477147,23090.28122730984,23383.341152068693,9194440,BTC,INR
2014-12-01,23528.221771843848,23864.92625676887,23429.941868487513,23590.17609563889,11763000,BTC,INR
2014-12-02,23493.77970600128,23790.38639106194,23407.858235767926,23621.70248108567,12364100,BTC,INR
2014-12-03,23585.837313427826,23666.409858687315,23130.090486864796,23171.117808179,13340100,BTC,INR
2014-12-04,23240.411429239088,23422.08322315628,22748.100499754422,22862.22489340417,14529600,BTC,INR
